keyword,country,area,area_code,page,create_date,create_time
資料分析師,Taiwan,台北市,6001001000,3,2020-06-05,12:34:40
My sql,Taiwan,台北市,6001001000,3,2020-06-05,12:35:32
data analyst,Taiwan,台北市,6001001000,2,2020-06-05,12:39:06
data analyst,Taiwan,台北市,6001001000,2,2020-06-05,16:29:30
My sql,Taiwan,台北市,6001001000,3,2020-06-05,16:34:32
My sql,Taiwan,台北市,6001001000,2,2020-06-05,16:35:42
資料分析師,Taiwan,新北市,6001002000,3,2020-06-05,16:37:12
data analyst,Taiwan,桃園市,6001005000,2,2020-06-05,16:39:47
data analyst,Taiwan,台北市,6001001000,2,2020-06-05,16:40:49
My sql,Taiwan,台北市,6001001000,2,2020-06-05,16:41:24
data analyst,Taiwan,新北市,6001002000,2,2020-06-05,16:42:56
資料分析師,Taiwan,台北市,6001001000,2,2020-06-05,16:44:06
My sql,Taiwan,桃園市,6001005000,1,2020-06-05,16:48:19
data analyst,Taiwan,桃園市,6001005000,2,2020-06-05,16:57:24
data analyst,Taiwan,桃園市,6001005000,2,2020-06-05,16:58:10
data analyst,Taiwan,桃園市,6001005000,2,2020-06-05,17:11:49
My sql,Taiwan,桃園市,6001005000,2,2020-06-05,17:15:07
sql,Taiwan,台北市,6001001000,01,2020-06-05,20:08:54
sql,Taiwan,桃園市,6001005000,3,2020-06-05,20:29:11
sql,Taiwan,台北市,6001001000,4,2020-06-05,20:47:59
大數據,Taiwan,桃園市,6001005000,5,2020-06-05,20:49:52
大數據分析,Taiwan,桃園市,6001005000,5,2020-06-05,20:52:45
大數據分析,Taiwan,桃園市,6001005000,5,2020-06-05,20:53:57
大數據分析,Taiwan,桃園市,6001005000,5,2020-06-05,20:54:34
機器學習,Taiwan,桃園市,6001005000,5,2020-06-05,21:00:35
machine learning,Taiwan,台北市,6001001000,4,2020-06-05,21:02:56
deep learning,Taiwan,台北市,6001001000,3,2020-06-05,21:04:24
資料分析,Taiwan,台北市,6001001000,3,2020-06-05,21:08:59
數據分析,Taiwan,台北市,6001001000,3,2020-06-05,21:11:42
data,Taiwan,台北市,6001001000,5,2020-06-05,23:09:12
test,Taiwan,台北市,6001001000,5,2020-06-05,23:11:17
test,Taiwan,桃園市,6001005000,4,2020-06-05,23:13:28
data,Taiwan,新北市,6001002000,5,2020-06-05,23:14:55
SQL,Taiwan,台北市,6001001000,3,2020-06-05,23:20:12
python,Taiwan,桃園市,6001005000,20,2020-06-05,23:22:03
sql,Taiwan,桃園市,6001005000,0,2020-06-05,23:32:01
數據分析施,Taiwan,台中市,6001008000,5,2020-06-05,23:59:14
資料分析,Taiwan,桃園市,6001005000,10,2020-06-06,00:04:45
資料分析,Taiwan,桃園市,6001005000,12,2020-06-06,00:06:54
資料分析,Taiwan,台北市,6001001000,10,2020-06-06,00:09:36
資料分析,Taiwan,台北市,6001001000,0,2020-06-06,00:15:50
資料分析,Taiwan,台北市,6001001000,0,2020-06-06,00:22:52
java,Taiwan,桃園市,6001005000,3,2020-06-06,15:26:52
aws,Taiwan,桃園市,6001005000,5,2020-06-06,15:56:17
3,Taiwan,桃園市,6001005000,javascript,2020-06-06,16:45:53
data analyst,Taiwan,台北市,6001001000,5,2020-06-06,16:45:53
javascript,Taiwan,台北市,6001001000,3,2020-06-06,16:45:53
javascript,Taiwan,桃園市,6001005000,5,2020-06-06,16:47:14
